,userid,1,2,3,4,5
29599,169343,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29600,169346,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29601,169349,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29602,169357,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29603,166183,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29604,169369,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29605,144030,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29606,169376,Manual9,Manual8,Manual7,Manual6,Quick Start
29607,169385,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29608,169387,Manual0,Manual9,Quick Start,Manual8,Manual7
29609,169226,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29610,169389,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29611,169395,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29612,159550,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29613,165104,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29614,169417,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29615,169338,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29616,168106,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29617,169230,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29618,161757,Random,Manual0,Fittest Workout,Speed Training,PEB workout
29619,168145,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29620,169422,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29621,169458,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29622,169457,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29623,169462,Manual0,Manual9,Manual,Manual5,Manual7
29624,169465,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
29625,169466,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
